variety_maturity_days,variety_max_yield,variety_avg_yield,land_area_ha,fertilizer_kg_ha,historical_yield_tons_ha,temperature_avg,rainfall_mm,humidity_avg,yield_class,yield_tons_ha,variety_Angelica (NSIC Rc122),variety_NSIC 2016 Rc 456H (Mestiso 78),variety_NSIC RC 402 (Tubigan 36),variety_NSIC Rc 480,variety_NSIC Rc 486 (Mestiso 80),variety_NSIC Rc 512 (Tubigan 44),variety_NSIC Rc 534 (Salinas 29),variety_NSIC Rc 666H,variety_NSIC Rc124H (MESTISO 4),variety_NSIC Rc132H (MESTISO 6),variety_NSIC Rc160 (Tubigan 14),variety_NSIC Rc204H (Mestiso 20),variety_NSIC Rc216 (Tubigan 17),variety_NSIC Rc222 (Tubigan 18),variety_NSIC Rc234H (MESTISO 27),variety_NSIC Rc440(Tubigan 39),variety_PSB Rc18 (Ala),variety_PSB Rc72H (Mestiso),classification_Hybrid,classification_Inbred,soil_type_Clay,soil_type_Clay Loam,soil_type_Sandy Loam,soil_type_Silty Clay,season_Dry,season_Wet,seeding_method_Direct Seeded,seeding_method_Transplanted
121,5.0,4.7,1.87,69.4,3.0,29.06,152.0,94.0,Low,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
107,8.2,5.6,1.27,43.1,3.07,27.96,83.0,80.9,Low,2.612,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
104,9.3,5.7,4.81,91.9,3.74,31.27,241.9,72.8,Low,2.499,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
123,8.1,5.1,0.79,92.1,3.29,26.68,284.7,88.8,Low,2.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
113,8.7,5.9,1.55,68.5,3.95,28.34,215.8,68.6,Low,3.157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
110,6.79,5.22,5.55,50.6,3.76,29.97,272.3,88.2,Low,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
106,7.9,5.7,4.02,77.8,3.85,32.67,25.2,82.5,Low,3.158,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
107,8.2,5.6,1.16,63.4,4.32,31.74,115.5,72.9,Low,2.224,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
106,7.9,5.7,3.12,77.4,4.52,23.02,45.9,71.4,Low,3.446,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0
106,7.9,5.7,3.23,63.0,3.92,33.28,136.0,50.7,Low,2.693,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
