variety,soil_type,season,seeding_method,temperature_avg,rainfall_mm,humidity_avg,fertilizer_kg_ha,historical_yield_tons_ha,yield_tons_ha
NSIC Rc 222,Clay Loam,Wet,Transplanted,28.33,115.82,76.1,50.0,6.7,7.02
NSIC Rc 222,Clay Loam,Dry,Transplanted,23.83,90.12,84.33,50.0,7.02,7.15
NSIC Rc 402,Sandy Loam,Dry,Direct Seeding,23.83,90.12,84.33,400.0,5.5,5.94
NSIC Rc 402,Sandy Loam,Wet,Direct Seeding,28.7,95.37,75.7,400.0,5.94,6.16
NSIC Rc 402,Clay Loam,Dry,Transplanted,23.21,73.25,83.93,350.0,3.5,3.625
NSIC Rc 402,Clay Loam,Wet,Transplanted,28.33,115.82,76.1,350.0,3.63,4.06
NSIC Rc 402,Clay Loam,Dry,Transplanted,23.61,31.63,81.53,200.0,6.03,6.72
NSIC Rc 402,Clay Loam,Wet,Transplanted,28.7,95.37,75.7,200.0,6.72,7.056
NSIC Rc 402,Clay Loam,Dry,Direct Seeding,23.61,31.63,81.53,300.0,7.0,7.809
NSIC Rc 402,Clay Loam,Wet,Direct Seeding,28.7,95.37,75.7,300.0,7.81,7.296
NSIC Rc 402,Clay Loam,Dry,Transplanted,23.61,31.63,81.53,200.0,5.5,5.506666666666667
NSIC Rc 402,Clay Loam,Wet,Transplanted,29.16,100.49,75.77,200.0,5.7,5.585333333333334
NSIC Rc 402,Clay Loam,Dry,Transplanted,23.61,31.63,81.53,300.0,5.2,5.145333333333333
NSIC Rc 402,Clay Loam,Wet,Transplanted,28.7,95.37,75.7,200.0,6.2,6.583
NSIC Rc 402,Clay Loam,Dry,Transplanted,23.83,90.12,84.33,400.0,7.0,7.38
NSIC Rc 402,Clay Loam,Wet,Transplanted,23.83,90.12,84.33,400.0,7.38,7.0725
NSIC Rc 456H,Clay Loam,Dry,Transplanted,23.83,90.12,84.33,400.0,6.7,6.96
NSIC Rc 456H,Clay Loam,Dry,Transplanted,23.21,73.25,83.93,363.64,4.7,4.463030303030303
NSIC Rc 456H,Clay Loam,Dry,Transplanted,24.66,26.53,79.49,200.0,4.04,4.7
NSIC Rc 456H,Clay Loam,Dry,Direct Seeding,23.61,31.63,81.53,235.29,6.28,6.5470588235294125
NSIC Rc 456H,Clay Loam,Dry,Direct Seeding,23.61,31.63,81.53,250.0,5.02,5.7
NSIC Rc 456H,Clay Loam,Dry,Transplanted,23.61,31.63,81.53,300.0,4.3,4.082914572864322
NSIC Rc 456H,Clay Loam,Dry,Transplanted,23.21,73.25,83.93,100.0,5.8,6.1312500000000005
NSIC Rc 486H,Sandy,Dry,Direct Seeding,23.21,73.25,83.93,200.0,7.31,8.4
NSIC Rc 456H,Clay Loam,Wet,Transplanted,28.06,79.35,82.14,200.0,4.4,4.24
NSIC Rc 402,Clay Loam,Dry,Transplanted,24.92,43.88,84.25,200.0,4.4,6.253333333333333
