variety,soil_type,season,seeding_method,fertilizer_kg_ha,temperature_avg,rainfall_mm,humidity_avg,historical_yield_tons_ha,yield_tons_ha
IR64,Silty Clay,Dry,Transplanted,191.04742298588965,22.30868132542461,14.203170348256213,66.92057530384345,3.234415040454439,4.22
NSIC 218,Sandy Loam,Wet,Transplanted,94.05146200376544,23.656631674764128,281.06243283546854,78.71649465372134,4.539017110302591,4.97
Dinorado,Clay,Dry,Transplanted,112.35553674273935,25.951248847745674,53.475148549400565,75.3284643965889,5.186312156500946,5.36
NSIC 218,Silty Clay,Wet,Direct Seeded,168.04352157185622,25.163339091885522,245.53649172219207,60.64058739763542,3.764825821001466,5.59
NSIC 218,Silty Clay,Dry,Transplanted,131.90368899811256,22.970541309833777,122.83773127596574,63.88599536977409,4.1812361052347775,5.34
NSIC Rc 160,Sandy Loam,Wet,Direct Seeded,132.05422196366715,26.326601076907167,169.1594687886447,84.33128825482538,3.1851551101805864,4.7
Dinorado,Clay Loam,Wet,Transplanted,58.00102445077753,25.381157716595627,299.11139737696595,74.51075865442682,3.7366399421106142,4.37
Dinorado,Clay,Wet,Direct Seeded,109.78994940776838,23.226192204574385,366.89500769850866,64.38045644469044,3.5103694233114746,3.9
Dinorado,Clay,Dry,Direct Seeded,90.61005986325986,24.96117130611909,73.93319992406754,73.957276885072,4.466576643914571,4.44
NSIC 218,Clay Loam,Wet,Transplanted,199.9002684246673,30.864360553553905,321.44061044001404,67.59447249247211,5.454096855025333,5.81
IR64,Clay Loam,Wet,Direct Seeded,96.25326059484654,25.020488654893402,245.37375251173805,66.70774383337032,4.939910355957059,4.5
Dinorado,Clay Loam,Dry,Transplanted,182.67448021907953,29.139554232420515,30.99178511861684,88.73175829335312,3.0764937547785554,4.42
NSIC 218,Sandy Loam,Dry,Transplanted,151.4350602560716,28.120470796577557,71.39747340836378,70.86073580573223,4.2330357799203,5.44
NSIC Rc 160,Sandy Loam,Wet,Transplanted,101.13746137881355,26.271811624083718,181.93151615578236,61.39293314017017,2.699235144845205,3.69
IR64,Clay,Wet,Transplanted,131.53015675611854,24.39025636803669,354.084546726061,89.10980017911908,3.2407464605279066,3.87
NSIC Rc 160,Sandy Loam,Wet,Direct Seeded,176.08038199237905,25.690146993459454,385.4370905578012,83.84518724316473,3.016653028181171,4.42
IR64,Silty Clay,Wet,Transplanted,182.5052447046368,27.92107213471043,247.0682476990662,67.63239919692475,3.506636612918389,5.02
NSIC 218,Clay,Dry,Direct Seeded,74.05908125092178,25.50753214749355,37.724609564711955,72.26675504116174,4.536441907132641,4.7
NSIC Rc 222,Sandy Loam,Wet,Direct Seeded,100.93597118122544,24.148964335742317,332.16054729601535,85.86868723785386,3.9981799507504805,5.18
